date,BZ=F,CL=F,NG=F,SPY,XLE
2021-04-05,,,,,
2021-04-06,,,,,
2021-04-07,,,,,
2021-04-08,,,,,
2021-04-09,,,,,
2021-04-12,,,,,
2021-04-13,,,,,
2021-04-14,,,,,
2021-04-15,,,,,
2021-04-16,,,,,
2021-04-19,,,,,
2021-04-20,,,,,
2021-04-21,,,,,
2021-04-22,,,,,
2021-04-23,,,,,
2021-04-26,,,,,
2021-04-27,,,,,
2021-04-28,,,,,
2021-04-29,,,,,
2021-04-30,,,,,
2021-05-03,21.914034106099066,24.513373906407228,23.12801089206504,9.236018112765212,26.065748223585533
2021-05-04,22.5133834757616,24.892050026873118,20.447158780214064,9.604676047374797,26.018245667298206
2021-05-05,22.53643075566562,24.97005831817139,20.571312928804513,9.609549587128143,28.167349573148538
2021-05-06,23.314986929888594,25.727471086798232,20.812970805674087,9.83721497122719,27.494968819985665
2021-05-07,23.13832992124505,25.517374943836845,20.709360444775772,9.837847223349861,27.580631195212312
2021-05-10,23.168774595448106,25.552754584409936,21.409074033225632,10.611171011642439,27.202043249617684
2021-05-11,23.1544306320232,25.51992536380114,20.591691262169675,11.114031894056003,29.40796543246481
2021-05-12,17.39735250191979,19.50176986839324,20.456614864833146,13.439243177353728,28.104719647993036
2021-05-13,21.268982310248216,23.37556092906145,20.250309076339988,13.589450408622097,28.361573274963963
2021-05-14,22.948895640463732,24.7441982424009,20.511862938628788,14.681665671922708,29.667068275979453
2021-05-17,23.175187269154353,25.09694052063972,25.052751593276927,14.601268329719485,30.234458588582868
2021-05-18,23.398103463559934,24.84118698570045,27.98889113424245,14.695171923598194,29.782117919274835
2021-05-19,24.95811631117127,26.934542009850492,28.273122028342762,14.284886931283264,31.678356661417034
2021-05-20,26.416069521004903,28.088184377378916,28.290383504227112,14.451325480709032,31.179842882567904
2021-05-21,27.150318464453772,29.12841441391682,28.270936056269164,13.91701681772411,31.161501927535024
2021-05-24,28.98635824098256,31.938374143127753,27.58680688650239,14.381922579082119,31.208859910516157
2021-05-25,28.771745780069896,31.56695312448828,25.737671429303425,14.407625368125734,32.3296287431571
2021-05-26,28.485914699115266,31.246963653730614,26.384707022341487,14.421556763178026,30.27579642105995
