date,XLE/SPY
2021-04-05,0.06042671815713354
2021-04-06,0.06030237384409374
2021-04-07,0.06044172504066421
2021-04-08,0.05937285766438925
2021-04-09,0.05855549317160922
2021-04-12,0.058072587299516185
2021-04-13,0.05796153939403616
2021-04-14,0.0597763970923858
2021-04-15,0.05866016001199951
2021-04-16,0.05799741215682901
2021-04-19,0.058223548889902034
2021-04-20,0.057100223404627885
2021-04-21,0.05728603039127367
2021-04-22,0.05713488959390309
2021-04-23,0.05703796375383941
2021-04-26,0.05730227040675393
2021-04-27,0.05800919704603986
2021-04-28,0.06002635522651552
2021-04-29,0.06031281062638844
2021-04-30,0.05917805036475563
2021-05-03,0.06067670793715334
2021-05-04,0.06108945596443097
2021-05-05,0.06304269172452834
2021-05-06,0.06286538967932474
2021-05-07,0.06352459216392564
2021-05-10,0.06418385559228737
2021-05-11,0.06309601595333857
2021-05-12,0.06477393254155697
2021-05-13,0.06322511604571686
2021-05-14,0.06420135796560608
2021-05-17,0.06585724031249378
2021-05-18,0.06488808900281143
2021-05-19,0.0634401048127246
2021-05-20,0.06266856023653918
2021-05-21,0.06285246004303673
2021-05-24,0.06283846484435832
2021-05-25,0.06169902665384788
2021-05-26,0.062125657747846896
2021-05-27,0.06214076122537583
2021-05-28,0.062148840613225745
2021-06-01,0.06459837430109788
2021-06-02,0.06569838139865958
2021-06-03,0.06612221806838599
2021-06-04,0.0659607184037097
2021-06-07,0.06574054098928736
2021-06-08,0.06629487761712552
2021-06-09,0.06597889267764122
2021-06-10,0.06559099362200534
2021-06-11,0.06525889253937237
2021-06-14,0.06483092475593688
2021-06-15,0.06618686059697494
2021-06-16,0.0662031239833137
2021-06-17,0.06397374401294037
2021-06-18,0.0631326492988908
2021-06-21,0.06423751553578706
2021-06-22,0.06432133746494997
2021-06-23,0.06457643284757235
2021-06-24,0.06474946888574662
2021-06-25,0.06486017914815458
2021-06-28,0.06254240188552612
2021-06-29,0.0622048136144499
2021-06-30,0.06292342106144937
2021-07-01,0.06366889192893245
2021-07-02,0.06304758654521835
2021-07-06,0.06110687725790817
2021-07-07,0.05990194754497018
2021-07-08,0.060045946332774026
2021-07-09,0.060674595664152196
2021-07-12,0.06036652566913954
2021-07-13,0.06011386782544581
2021-07-14,0.05823629482706612
2021-07-15,0.057619319694216325
2021-07-16,0.056428804097084305
2021-07-19,0.05525095765534346
2021-07-20,0.055201132582615726
2021-07-21,0.05666781887411307
2021-07-22,0.05591788191632678
2021-07-23,0.055143883471048816
2021-07-26,0.05636932844234615
2021-07-27,0.056103502455253494
2021-07-28,0.05663924595577576
2021-07-29,0.05694995951650847
2021-07-30,0.05631570350702647
2021-08-02,0.05601133580292392
2021-08-03,0.0565113921570757
2021-08-04,0.05525308340639231
2021-08-05,0.05552788877304638
2021-08-06,0.05594476645145023
2021-08-09,0.05519869815918534
2021-08-10,0.05610147170726508
2021-08-11,0.056401822424389084
2021-08-12,0.056177124718999126
2021-08-13,0.05541352336830504
2021-08-16,0.0542653849129129
2021-08-17,0.05406044207464271
2021-08-18,0.05352019571191816
2021-08-19,0.052050655254454695
2021-08-20,0.0517525271853976
2021-08-23,0.05322407500203332
2021-08-24,0.054021476208217664
2021-08-25,0.054320465193366946
2021-08-26,0.05381391759091539
2021-08-27,0.0547584690430772
2021-08-30,0.053877449924159874
2021-08-31,0.05359199418411569
2021-09-01,0.05277777768396296
2021-09-02,0.05395088292156364
2021-09-03,0.053654984078765906
2021-09-07,0.05352633981505723
2021-09-08,0.052904125764555304
2021-09-09,0.053242906369329296
2021-09-10,0.053643589095720805
2021-09-13,0.05504053173625261
2021-09-14,0.05453992761582742
2021-09-15,0.05610877665177719
2021-09-16,0.05556052187602603
2021-09-17,0.05586769412868476
2021-09-20,0.054418948424633067
2021-09-21,0.05459723490181142
2021-09-22,0.05573699699243006
2021-09-23,0.056997158369830526
2021-09-24,0.057331442303587304
2021-09-27,0.05954048136196753
