date,BZ=F,CL=F,NG=F,SPY,XLE
2021-04-05,100.0,100.0,100.0,100.0,100.0
2021-04-06,100.94931639276344,101.1594207800246,97.80964435941597,99.94094146987248,99.73528595703614
2021-04-07,101.62509782258435,101.90963154773418,100.35842545744609,100.05660276469621,100.08145166978252
2021-04-08,101.68945971243997,101.61977310064178,100.4380787240893,100.53154930110568,98.77824825623829
2021-04-09,101.2872071076739,101.14236683975138,100.59737576241015,101.26242865137773,98.12665043329552
2021-04-12,101.81817735426355,101.79027998251158,101.99124621139002,101.29934774269347,97.35288287333776
2021-04-13,102.44569043563658,102.60869350296909,104.30107700445608,101.59956694416566,97.45469357673655
2021-04-14,107.12791664748578,107.6726340714832,104.26125511861729,101.25259056968052,100.16289557190629
2021-04-15,107.70716138041092,108.20118914484831,105.85424449175677,102.34029188612097,99.34840217705727
2021-04-16,107.4336202795808,107.63853269510923,106.73039244496978,102.68235672974353,98.55426781582446
2021-04-19,107.88415350857004,108.06479014352497,109.47830196212516,102.17787341828428,98.45244934476692
2021-04-20,107.11182310607805,106.46205797481142,108.60215400891218,101.42977367004906,95.84605805299594
2021-04-21,105.10056008224768,104.6035752395519,107.20828355993226,102.38951233455127,97.0678020290989
2021-04-22,105.2292838619589,104.73998074504776,109.47830196212516,101.45437638427816,95.92750972277847
2021-04-23,106.37167978640151,105.95055033754703,108.72162916139419,102.55438656781924,96.8030957537938
2021-04-26,105.63153646672498,105.55839426550526,111.1111132211035,102.76848124951748,97.45469357673655
2021-04-27,106.87046908806334,107.31457287164288,114.41656711986454,102.74633430071967,98.63571171794821
2021-04-28,108.23812548911292,108.88320366398247,116.48745710293218,102.71680503565592,102.03624513861075
2021-04-29,110.31375040279887,110.84399052836385,115.92991272132647,103.37139794785126,103.17653744493118
2021-04-30,108.20595068207277,108.40579740309207,116.72640740789622,102.69219481144079,100.5701461531602
2021-05-03,108.7047399837346,109.95736775098595,118.12027785687611,102.91367931939102,103.33944078449623
2021-05-04,110.82863324586842,112.00341130838845,118.1600997427149,102.27877008057614,103.4005256530038
2021-05-05,110.95735702557965,111.90110067509409,117.00517959869907,102.31076262105722,106.73996643750002
2021-05-06,109.55751354171461,110.33247638692698,116.6069322554142,103.12777400108925,107.28975355704395
2021-05-07,109.86322944958494,110.65643621039334,117.80167428526885,103.87833702474181,109.20382895863969
2021-05-10,109.92759133944053,110.69053108259479,116.76622929373501,102.84969423842884,109.24455479353097
2021-05-11,110.29766913716645,111.30434284898105,117.68219913278682,101.93178619610497,106.43453432730368
2021-05-12,111.53660175850482,112.66837188724938,118.23975300935811,99.76622164492125,106.94359561195637
2021-05-13,107.88415350857004,108.81500091123458,118.39905004767897,100.96466521533682,105.64039996607086
2021-05-14,110.55510442081358,111.45780229475011,117.92114943775087,102.51501171107222,108.9187558820596
2021-05-17,111.76186223511178,112.99231870237077,123.81521581534645,102.254159856361,111.44369550404805
2021-05-18,110.55510442081358,111.66239754464885,119.9522175349797,101.37317090535288,108.85766324589332
2021-05-19,107.25664042719698,108.030688767151,118.0406245902329,101.107392499807,106.14946125072355
2021-05-20,104.76266936733722,105.79709739595047,116.48745710293218,102.19510132623348,105.98655791115851
2021-05-21,106.9026561708788,108.40579740309207,115.7307843022012,102.11143257189086,106.21054611923107
2021-05-24,110.1528518160475,112.61722307477471,114.93428961563146,103.15238422530439,107.26939452342772
2021-05-25,110.45856772391782,112.65131794697616,116.0095659879697,102.92351740108823,105.0906128465269
2021-05-26,110.81255198023601,112.89002107742138,118.83711927680262,103.12777400108925,106.02728374604975
2021-05-27,111.76186223511178,113.98123910469806,117.80167428526885,103.18191349036813,106.1087354158323
2021-05-28,112.03539106016665,113.07757539539189,118.91677254344586,103.36647890700263,106.31235682262987
2021-06-01,113.03298193926561,115.46461970818899,123.61609689118684,103.27542783639404,110.40521390112639
2021-06-02,114.80289094508124,117.35720381982246,122.46117674717101,103.43783879424471,112.46181807335343
2021-06-03,114.73852905522564,117.32309593927602,121.10712818402993,103.05394332844384,112.76725795120855
2021-06-04,115.67175804446899,118.70417891781757,123.33731520541835,103.99646159498286,113.52066647755007
2021-06-07,115.02815142168824,118.03921833895663,122.26204832804575,103.895564932691,113.03196422651362
2021-06-08,116.20273442894629,119.43734224942644,124.57188861607742,103.91771188148881,114.00936872858651
2021-06-09,116.20273442894629,119.28388280365738,124.61171050191622,103.76267572991806,113.2966782694775
2021-06-10,116.68543018920039,119.84654575756895,125.408205188486,104.24500458259347,113.15414173118742
2021-06-11,116.95897129003055,120.90366891264415,131.26244968024278,104.41726864211343,112.76725795120855
2021-06-14,117.23250011508539,120.85250709182446,133.49263670163128,104.6510545071782,112.2785557001721
2021-06-15,119.05067746934893,122.9667534019749,129.03226265885434,104.45910677427777,114.41661154218164
2021-06-16,119.69428409212969,123.01790221444959,129.470331887978,103.87587374932448,113.80573955413018
2021-06-17,117.58648437140357,121.12531810281615,129.54998515462123,103.8414254434121,109.93687845136498
2021-06-18,118.27835934263223,122.1483333773449,128.03663955315932,102.10651353104222,106.6788815689925
2021-06-21,120.51488284306954,125.59250084521723,127.08084782826874,103.56826472160033,110.0997740232713
2021-06-22,120.37006552195062,124.56947256234348,129.74910407878087,104.12196097150381,110.83282351599657
2021-06-23,120.98149733769124,124.60358044288992,132.7359639009003,103.99646159498286,111.13826339385169
2021-06-24,121.57682333624884,124.97868907883097,136.12107106630458,104.61167965043118,112.09529332699081
2021-06-25,122.57441421534779,126.25746142407817,139.22740604090603,104.98326624913147,112.68580628142601
2021-06-28,120.16089858675136,124.31372849997003,144.046205541129,105.19490516539842,108.87803004716832
2021-06-29,120.2896223664626,124.43308006519263,144.56392803689593,105.25150793009466,108.34860196124063
2021-06-30,120.88494836502018,125.26854102175086,145.3604227234657,105.3400957252859,109.69252344201739
2021-07-01,122.02734428946277,128.2693971009342,145.79849195258933,105.92332124025319,111.6065988436131
2021-07-02,122.55832067394006,128.1500455357116,147.35165943989008,106.73295030401925,111.3622438342655
2021-07-06,119.91954456873668,125.09804064405357,144.84270022769877,106.53853929570151,107.73772997318913
2021-07-07,118.14963556292102,123.10314589912575,143.2098794737548,106.91505244523643,105.98655791115851
2021-07-08,119.25985668032347,124.3648773124447,146.87375882996196,106.04390908591155,105.37568592310703
2021-07-09,121.5607420706164,127.12701725283786,146.31621444835625,107.17590429994763,107.61555246851535
