date,BZ=F,CL=F,NG=F,SPY,XLE
2021-04-05,0.0,0.0,0.0,0.0,0.0
2021-04-06,0.0,0.0,-2.1903556405840297,-0.05905853012750928,-0.2647140429638539
2021-04-07,0.0,0.0,0.0,0.0,0.0
2021-04-08,0.0,-0.28442694050624384,0.0,0.0,-1.302142796493555
2021-04-09,-0.3955696154779198,-0.7528873339351039,0.0,0.0,-1.9532103140718293
2021-04-12,0.0,-0.11711509835721223,0.0,0.0,-2.7263481403603684
2021-04-13,0.0,0.0,0.0,0.0,-2.624620295989455
2021-04-14,0.0,0.0,-0.03817974558124604,-0.3415136352656112,0.0
2021-04-15,0.0,0.0,0.0,0.0,-0.8131687789160513
2021-04-16,-0.2539674217798993,-0.5200094880527084,0.0,0.0,-1.6060116342453412
2021-04-19,0.0,-0.12606053815243934,0.0,-0.4913047650308866,-1.7076645172577454
2021-04-20,-0.7158886429327493,-1.607312436935182,-0.800293699765342,-1.2198620090024148,-4.309817017831041
2021-04-21,-2.5801689458509913,-3.3249300989477093,-2.0734870394484295,-0.2851944623388669,-3.090059971943848
2021-04-22,-2.4608522755848683,-3.1988635496113194,0.0,-1.195901988008874,-4.228497813431586
2021-04-23,-1.4019424289669846,-2.0800499745787016,-0.6911623464828098,-0.1246272154242889,-3.3543357537028418
2021-04-26,-2.08799621500122,-2.442482287144876,0.0,0.0,-2.7037976285595122
2021-04-27,-0.9396045550157273,-0.819414537134644,0.0,-0.021550331899955477,-1.5247001848720743
2021-04-28,0.0,0.0,0.0,-0.05028410776656278,0.0
2021-04-29,0.0,0.0,-0.478630399763158,0.0,0.0
2021-04-30,-1.9107316295835397,-2.199661987672563,0.0,-0.6570513216364926,-2.5261472775844007
2021-05-03,-1.4585764813444868,-0.7998834877304795,0.0,-0.44279040193608843,0.0
2021-05-04,0.0,0.0,0.0,-1.0569924456534152,0.0
2021-05-05,0.0,-0.09134599750061367,-0.9774197436618559,-1.0260433232499255,0.0
2021-05-06,-1.2616049276861552,-1.4918607406168571,-1.3144602033026587,-0.23567829360777726,0.0
2021-05-07,-0.9860793419425806,-1.2026197079715528,-0.3033388243802504,0.0,0.0
2021-05-10,-0.9280733731803936,-1.1721787849646725,-1.1796456265820265,-0.9902380186043391,0.0
2021-05-11,-0.5945418186746432,-0.624149256920925,-0.40445176584033016,-1.8738756167931414,-2.5722293175510225
2021-05-12,0.0,0.0,0.0,-3.958587995917884,-2.1062461062003046
2021-05-13,-3.274663377178144,-3.42009999032471,0.0,-2.8048887697451175,-3.299161989603827
2021-05-14,-0.8799778029963123,-1.0744537905551188,-0.40363551036571854,-1.3124250471442056,-0.29822897085087785
2021-05-17,0.0,0.0,0.0,-1.5635378991424864,0.0
2021-05-18,-1.0797581484098484,-1.1770013864614959,-3.1199705584876503,-2.4116347942615413,-2.3204832238004736
2021-05-19,-4.03109049707604,-4.391121442767276,-4.6638784959399215,-2.6674902624546415,-4.7505910759502505
2021-05-20,-6.262595064003551,-6.367885347474789,-5.918302257246499,-1.6203914566974564,-4.8967665404556655
2021-05-21,-4.347821311361788,-4.059144331182285,-6.529432961779169,-1.7009364064329402,-4.695778761775616
2021-05-24,-1.439677531213135,-0.3319655989926895,-7.172726018553077,-0.6988490769394007,-3.7456591525795946
