column,observed_dtype,non_null_count,null_count,null_pct,n_unique,sample_min,sample_max
date,datetime64[us],325,0,0.0,325,1999-02-01T00:00:00,2026-02-01T00:00:00
yield_10y,float64,325,0,0.0,249,1.83,11.65
