column,observed_dtype,non_null_count,null_count,null_pct,n_unique,sample_min,sample_max
bond_id,str,1,0,0.0,1,2033/I,2033/I
country,str,1,0,0.0,1,Hungary,Hungary
type,str,1,0,0.0,1,Inflation Linked,Inflation Linked
premium,str,1,0,0.0,1,0.5%,0.5%
redemption_fee,str,1,0,0.0,1,1%,1%
