date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-21,-0.010634602924880693,-0.006128879484300054,-0.018515985811971437,-0.0029325776682436206,-0.012554542782947825,-0.007683779030385774,0.0,0.0,0.0,-0.005761939853684508,-0.007123106826995941
2018-06-22,0.0,-0.001779303322215881,0.0,-0.007697998830562842,-0.009143056054837853,-0.010896885060642507,0.0,0.0,0.0,-0.0012934507493475873,-0.00881490596834547
2018-06-25,-0.015550237510851125,-0.022340805474658727,-0.020093249921455954,-0.01832850513506427,-0.02169759883778568,-0.031433408529673725,0.0,-0.002476060534140101,0.0,-0.010465593633639225,-0.030362385813258924
2018-06-26,-0.011790789768936617,-0.020719620437472996,-0.007717986530339453,-0.021627567268956926,-0.018013130489080025,-0.02752168977366785,-0.0042397726225644776,0.0,0.0,-0.013523004617369726,-0.023417302194770617
2018-06-27,-0.014866713466275192,-0.029260578858111036,0.0,-0.03372436240758022,-0.025928030427682696,-0.04079351642973137,-0.006359584863744748,-0.00277781544011542,0.0,-0.021872026103549148,-0.036060898505939146
2018-06-28,-0.01110733122110683,-0.019572941492378468,-0.0013231970320982235,-0.02529332445141394,-0.024563331265860553,-0.029058466934252927,-0.006359584863744748,0.0,-0.0003853604520595789,-0.02057848528730169,-0.02849256346340132
2018-06-29,-0.007689710998226604,-0.02075924453185644,0.0,-0.02529332445141394,-0.02251643922899448,-0.029477549151670897,-0.006937776077786402,0.0,0.0,-0.018579450444200958,-0.02680076432205201
2018-07-02,-0.012987022343690788,-0.014630289429055681,-0.01474857184986658,-0.0205279032890945,-0.020333004146541555,-0.020815947204823215,-0.012719243797591573,-0.005808569318487951,0.0,-0.015522039460470458,-0.02546528390855363
2018-07-03,-0.014695832455130902,-0.02669038163674312,-0.00855938114979551,-0.0293255660995201,-0.02347161372463398,-0.032411338218675464,-0.010406627081628893,0.0,0.0,-0.013170302637393078,-0.030362385813258924
2018-07-05,-0.006151781897930446,-0.011862425446775203,-0.009612922905413426,-0.027126097751185175,-0.018695323364123842,-0.018720429345194196,0.0,0.0,0.0,-0.0029397836124716702,-0.025554261473952865
2018-07-06,-0.001196167078007802,0.0,-0.0035554882203437084,-0.022360746783170432,-0.015283836636013758,-0.0072646968129681366,0.0,0.0,0.0,0.0,-0.017896880788306972
2018-07-09,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038300282101814656,-0.009314863626237334,-0.030844421892287654,0.0,-0.00614367283051316
2018-07-10,0.0,-0.00041131779374544976,0.0,-0.0036657571824566804,0.0,0.0,0.0,-0.004507195812335129,-0.021628638590484917,0.0,-0.004006781629039743
2018-07-11,-0.016815192781031475,-0.0017626514304545898,-0.021196884531321767,-0.008431178344776124,-0.016411317210291015,-0.0039013635284699364,-0.0032294432937722225,-0.00751203161683362,-0.012789083508923292,-0.007933797393886752,-0.006321832194438679
2018-07-12,-0.014461074814753333,0.0,-0.01951670793137198,-0.0065982646563953785,-0.004882744562424043,0.0,-0.004559261306647587,-0.005108139815469911,-0.012036844039733464,0.0,0.0
2018-07-13,-0.014965528664670047,-0.0015453544577827454,-0.01434665851312668,-0.010997131158760642,0.0,-0.0011016883152419827,0.0,-0.008413447621535687,-0.01184872992961291,0.0,0.0
2018-07-16,-0.02286863898003269,-0.004442718600387644,-0.025720628071742194,0.0,-0.004067902455876193,-0.0034426181199733023,-0.004740240711966851,-0.013822059438572672,-0.012789083508923292,-0.0060640710908203685,0.0
2018-07-17,-0.010089141448807903,-0.004249595468358912,-0.02959806573433753,0.0,-0.00013567287204830234,0.0,0.0,-0.020432675050704226,-0.013541395301877179,-0.0005720805248908704,0.0
2018-07-18,-0.01933746203061526,-0.007146959610964025,-0.028951859257601027,0.0,0.0,-0.001645854743805966,-0.008122383822402742,-0.02403845485833729,-0.018619463742433635,0.0,-0.0006195553737679665
2018-07-19,-0.015806285081198048,-0.014100869970209935,-0.02869331702625315,-0.015037626461088931,-0.0004025481709987497,-0.005211890826191608,-0.007555660294620562,-0.01472347544327453,-0.009591794550751454,-0.005605071567303361,-0.002920877060317427
2018-07-20,-0.019841915880532083,-0.01738462813749354,-0.03205386902833011,-0.013247437731962295,-0.001475564966602454,-0.004937564231417898,-0.001511117538721008,-0.023437510855202508,-0.016550642473692524,-0.007549770484173653,-0.007346417602924718
2018-07-23,-0.02522275694631083,-0.013328155801163146,-0.03631907033740265,0.0,-0.007645847977477902,0.0,-0.007744568137214836,-0.02614175886930829,-0.023509490396633595,-0.005490734205322982,-0.008408628541938025
2018-07-24,-0.012611410698391688,-0.006374393202538475,-0.024169672886921303,0.0,-0.003487586985576501,0.0,-0.005855634913305708,-0.028846122672239915,-0.020124087328341412,0.0,-0.011329505602255673
2018-07-25,-0.004876387215861926,0.0,-0.01602703391525342,0.0,0.0,0.0,0.0,-0.019230787044434875,-0.017302954266646624,0.0,-0.0040715379035919375
