date,dispersion
2018-06-20,0.004900594828609582
2018-06-21,0.007252706024760683
2018-06-22,0.007424412893135538
2018-06-25,0.012223699983134245
2018-06-26,0.005010986964933366
2018-06-27,0.00824492125152184
2018-06-28,0.004948275423734879
2018-06-29,0.0021304732415418242
2018-07-02,0.00723343346225141
2018-07-03,0.006729514592592549
2018-07-05,0.005443934251470195
2018-07-06,0.004419308175130148
2018-07-09,0.014987378891551995
2018-07-10,0.004558686369810991
2018-07-11,0.008605044673203496
2018-07-12,0.0062568561738990305
2018-07-13,0.0036053011276237553
2018-07-16,0.007616041771507233
2018-07-17,0.005755714369928626
2018-07-18,0.007628750194537466
2018-07-19,0.0070951762405856945
2018-07-20,0.0041346046609034475
2018-07-23,0.006457826099088012
2018-07-24,0.005316613933895707
2018-07-25,0.003974061005885205
2018-07-26,0.014248231343584843
2018-07-27,0.006977928303853998
2018-07-30,0.007338664927737981
2018-07-31,0.008407653148640221
2018-08-01,0.007548339507098339
2018-08-02,0.006508451511843014
2018-08-03,0.005335561056660384
2018-08-06,0.0035325032521798215
2018-08-07,0.004154297668570167
2018-08-08,0.004010411493673724
2018-08-09,0.005076680123442046
2018-08-10,0.005385142535100672
2018-08-13,0.0048710747931711585
2018-08-14,0.0026109422686408854
2018-08-15,0.012668142086862037
2018-08-16,0.004450276757133183
2018-08-17,0.003988697717857053
2018-08-20,0.003749644658735977
2018-08-21,0.006209232448093561
2018-08-22,0.0061273576720172526
2018-08-23,0.0025011856729437666
2018-08-24,0.004506241377364186
2018-08-27,0.006503335907174929
2018-08-28,0.004772859619665793
2018-08-29,0.004173918150619179
2018-08-30,0.003437299545389381
2018-08-31,0.004361074542150901
2018-09-04,0.0056135280741488975
2018-09-05,0.009517186150923207
2018-09-06,0.007012515078782058
2018-09-07,0.005079483574978084
2018-09-10,0.0026996539716583542
2018-09-11,0.005103572587674275
2018-09-12,0.005476908728813194
2018-09-13,0.004792884697164028
2018-09-14,0.004834114973083498
2018-09-17,0.006740446915945858
2018-09-18,0.005798698276749228
2018-09-19,0.009985742617601418
2018-09-20,0.004387242165139533
2018-09-21,0.003620766250112273
2018-09-24,0.010670699829927747
2018-09-25,0.005328116902301924
2018-09-26,0.006271525688540274
2018-09-27,0.005483138661532491
2018-09-28,0.007447022688215603
2018-10-01,0.006796093364323592
2018-10-02,0.006546947865816056
2018-10-03,0.007933621043415766
2018-10-04,0.008004133059817288
2018-10-05,0.007391159194493696
2018-10-08,0.007359732160860196
2018-10-09,0.011698702849229626
2018-10-10,0.012431020729352142
2018-10-11,0.008451435515814537
2018-10-12,0.010895904988923786
2018-10-15,0.006883845464285228
2018-10-16,0.007183681909313513
2018-10-17,0.006214627685651009
2018-10-18,0.008239187710485601
2018-10-19,0.010898237944842367
2018-10-22,0.008238592017542259
2018-10-23,0.009245502878719095
2018-10-24,0.024241947772815728
2018-10-25,0.014537570543611515
2018-10-26,0.008364377869811047
2018-10-29,0.013632886728038845
2018-10-30,0.0066999092195487355
2018-10-31,0.012869300934214565
2018-11-01,0.008985993449491409
2018-11-02,0.006122534806574208
2018-11-05,0.007594533616437446
2018-11-06,0.0035364689351083676
2018-11-07,0.007843100685964213
2018-11-08,0.007048163105049718
2018-11-09,0.008637815126899838
2018-11-12,0.010546392483925086
2018-11-13,0.00796731912689242
2018-11-14,0.005618219731703525
2018-11-15,0.010637108182294906
2018-11-16,0.007497212438611892
2018-11-19,0.014340177577387465
2018-11-20,0.007680201996851972
2018-11-21,0.009409708371935553
2018-11-23,0.009654708090076253
2018-11-26,0.008299248474068143
