strategy,start_date,end_date,trading_days,invested_days,invested_share_pct,final_equity,total_return_pct,annualized_return_pct,annualized_volatility_pct,max_drawdown_pct
baseline_always_long_spy,2010-01-04,2026-04-15,4095,4095,100.0,8.235375,723.54,13.85,17.16,-33.72
overlay_long_only_when_market_hh_hl,2010-01-04,2026-04-15,4095,1528,37.31,1.163734,16.37,0.94,11.49,-32.36
