strategy,start_date,end_date,trading_days,invested_days,invested_share_pct,long_days,short_days,flat_days,final_equity,total_return_pct,annualized_return_pct,annualized_volatility_pct,max_drawdown_pct
baseline_always_long_spy,2010-01-04,2026-04-15,4095,4095,100.0,4095,0,0,8.235375,723.54,13.85,17.16,-33.72
overlay_long_short_by_market_structure,2010-01-04,2026-04-15,4095,3414,83.37,1528,1886,681,0.219986,-78.0,-8.9,15.24,-80.8
