date,spy_adj_close,overlay_direction,is_long_allowed,hh_hl_count,lh_ll_count,transition_count,sector_count,daily_return,overlay_position,baseline_position,baseline_strategy_return,overlay_strategy_return,baseline_equity,overlay_equity
2010-01-04,84.79638671875,,,,,,,0.0,0,1,0.0,0.0,1.0,1.0
2010-01-05,85.02086639404297,,,,,,,0.0026472787813178744,0,1,0.0026472787813178744,0.0,1.0026472787813179,1.0
2010-01-06,85.0807113647461,,,,,,,0.0007038856840833052,0,1,0.0007038856840833052,0.0,1.003353027847037,1.0
2010-01-07,85.43987274169922,,,,,,,0.004221419534368609,0,1,0.004221419534368609,0.0,1.0075886019186584,1.0
2010-01-08,85.72418212890625,,,,,,,0.0033275960986804964,0,1,0.0033275960986804964,0.0,1.0109414498194778,1.0
2010-01-11,85.84392547607422,,,,,,,0.0013968444398559932,0,1,0.0013968444398559932,0.0,1.012353577762678,1.0
2010-01-12,85.04330444335938,,,,,,,-0.009326472761756244,0,1,-0.009326472761756244,-0.0,1.0029118896944078,1.0
2010-01-13,85.76158142089844,,,,,,,0.008446014442176963,0,1,0.008446014442176963,0.0,1.0113824979989978,1.0
2010-01-14,85.99356079101562,,,,,,,0.00270493344774847,0,1,0.00270493344774847,0.0,1.0141182203463026,1.0
2010-01-15,85.02831268310547,,,,,,,-0.011224655648995996,0,1,-0.011224655648995996,-0.0,1.0027350925355427,1.0
2010-01-19,86.09080505371094,,,,,,,0.01249574802883946,0,1,0.01249574802883946,0.0,1.0152650175915419,1.0
2010-01-20,85.21537780761719,,,,,,,-0.010168649782605454,0,1,-0.010168649782605454,-0.0,1.0049411431911226,1.0
2010-01-21,83.57674407958984,,,,,,,-0.019229319521726906,0,1,-0.019229319521726906,-0.0,0.985616808848171,1.0
2010-01-22,81.71369934082031,,,,,,,-0.022291425195929637,0,1,-0.022291425195929637,-0.0,0.9636460054818812,1.0
2010-01-25,82.13268280029297,,,,,,,0.005127456752693549,0,1,0.005127456752693549,0.0,0.9685870586998954,1.0
2010-01-26,81.78851318359375,,,,,,,-0.004190410016632118,0,1,-0.004190410016632118,-0.0,0.9645282817871391,1.0
2010-01-27,82.1775894165039,,,,,,,0.004757101184084123,0,1,0.004757101184084123,0.0,0.9691166404185113,1.0
2010-01-28,81.23482513427734,,,,,,,-0.011472279594967327,0,1,-0.011472279594967327,-0.0,0.9579986633594947,1.0
2010-01-29,80.3519287109375,,,,,,,-0.01086844739162618,0,1,-0.01086844739162618,-0.0,0.9475867052855238,1.0
2010-02-01,81.60144805908203,,,,,,,0.01555058314330715,0,1,0.01555058314330715,0.0,0.9623222311315588,1.0
2010-02-02,82.58909606933594,,,,,,,0.012103314754155159,0,1,0.012103314754155159,0.0,0.9739695199898649,1.0
2010-02-03,82.1775894165039,,,,,,,-0.004982578480899669,0,1,-0.004982578480899669,-0.0,0.9691166404185112,1.0
2010-02-04,79.64112091064453,,,,,,,-0.030865696157180933,0,1,-0.030865696157180933,-0.0,0.9392041806544854,1.0
2010-02-05,79.80571746826172,,,,,,,0.0020667282897972594,0,1,0.0020667282897972594,0.0,0.9411452605045398,1.0
2010-02-08,79.22956848144531,,,,,,,-0.007219394864102835,0,1,-0.007219394864102835,-0.0,0.9343507612444787,1.0
2010-02-09,80.2247314453125,,,,,,,0.012560499608176512,0,1,0.012560499608176512,0.0,0.9460866736149894,1.0
