overlay_direction,day_count,avg_hh_hl_count,avg_lh_ll_count,avg_transition_count
HH/HL,1528,5.008507853403142,2.9214659685863875,2.089005235602094
LH/LL,1887,2.8627450980392157,5.278219395866454,2.1144674085850554
TRANSITION,643,3.891135303265941,3.891135303265941,2.1695178849144634
