ticker,date,open,high,low,close,volume
XLF,1998-12-22,18.976953108426304,18.976953108426304,18.77466719840375,18.86316680908203,55887
XLF,1998-12-23,18.78730941683455,19.14130973815918,18.78730941683455,19.14130973815918,78784
XLF,1998-12-24,19.141310600316384,19.267738342285156,19.07809577941884,19.267738342285156,43824
XLF,1998-12-28,19.25509518348685,19.25509518348685,18.964309664315934,19.014883041381836,51948
XLF,1998-12-29,19.04016768904294,19.2171688079834,18.812595093237537,19.2171688079834,100819
XLF,1998-12-30,19.11602305100859,19.242452687109072,19.014882001884928,19.14130973815918,154614
XLF,1998-12-31,19.141310812896418,19.166595601640452,18.964309692382812,18.964309692382812,65366
XLF,1999-01-04,18.736738994381135,19.28038190055446,18.736738994381135,18.964309692382812,250632
XLF,1999-01-05,18.888452365784445,19.166594525483536,18.888452365784445,19.14130973815918,47763
XLF,1999-01-06,19.49531155355936,19.773455634401003,19.36888380759598,19.7481689453125,129871
XLF,1999-01-07,19.545882817262193,20.051597595214844,19.49531133946693,20.051597595214844,89986
XLF,1999-01-08,20.27916914215686,20.27916914215686,19.963096947392753,20.178024291992188,173694
XLF,1999-01-11,20.20331119157589,20.20331119157589,19.68495309069345,19.874597549438477,62904
XLF,1999-01-12,19.773454973709793,19.773454973709793,19.318309783935547,19.318309783935547,117437
XLF,1999-01-13,18.382738584406408,19.318309961309648,18.382738584406408,19.065452575683594,359206
XLF,1999-01-14,19.014882371306342,19.153953453857763,18.408022765990673,18.585023880004883,59950
XLF,1999-01-15,18.837881843574657,19.116024017333984,18.749382233726354,19.116024017333984,96757
XLF,1999-01-19,19.41945295947202,19.41945295947202,18.762023755357674,19.014883041381836,54903
XLF,1999-01-20,19.21716837184919,19.45738240654942,19.040167256925777,19.153953552246094,76445
XLF,1999-01-21,18.989596488951896,19.07809609979885,18.762023889829617,18.81259536743164,438482
XLF,1999-01-22,18.711451551029764,18.812594501578687,18.585023812756738,18.686166763305664,109928
XLF,1999-01-25,18.78730961325317,18.863165875845542,18.55973702582356,18.837881088256836,169632
XLF,1999-01-26,18.913737815258443,18.951667847312216,18.711451910276843,18.850522994995117,118053
XLF,1999-01-27,18.96430994677969,18.96430994677969,18.610309600830078,18.610309600830078,56872
XLF,1999-01-28,18.55973699305073,18.913737317451286,18.55973699305073,18.888452529907227,47270
XLF,1999-01-29,19.002238561320166,19.318308850305655,18.736737846725283,19.29302406311035,72998
XLF,1999-02-01,19.368883410724433,19.368883410724433,18.964309692382812,18.964309692382812,59827
XLF,1999-02-02,18.812595403480177,18.91373835887803,18.572381359366858,18.76202392578125,107220
XLF,1999-02-03,18.660880399876103,19.040167420935536,18.521809315412373,18.901094436645508,69675
