ticker,date,open,high,low,close,volume
XLV,1998-12-22,24.71565558044205,24.96467981802837,24.71565558044205,24.933551788330078,5700
XLV,1998-12-23,25.08919204227508,25.49385643005371,25.08919204227508,25.49385643005371,18100
XLV,1998-12-24,25.524983961605333,25.64949607849121,25.416035859330186,25.64949607849121,4900
XLV,1998-12-28,25.571677213819157,25.649497290550194,25.27596092224121,25.27596092224121,15500
XLV,1998-12-29,25.275961009565606,25.836265563964844,25.275961009565606,25.836265563964844,5300
XLV,1998-12-30,25.898520412885404,25.929648442227816,25.61836814880371,25.61836814880371,17300
XLV,1998-12-31,25.71175323999845,25.898521423339844,25.649497178884655,25.898521423339844,6600
XLV,1999-01-04,26.14754587196442,26.27205799516425,25.680625409965057,25.836265563964844,249200
XLV,1999-01-05,25.898520328254744,26.240928649902344,25.898520328254744,26.240928649902344,4400
XLV,1999-01-06,26.42769733415601,26.676721572875977,26.365441274476023,26.676721572875977,38500
XLV,1999-01-07,26.427697732887403,26.58333788443562,26.24092955102954,26.552209854125977,15900
XLV,1999-01-08,26.614466757186246,26.87905502319336,26.614466757186246,26.87905502319336,24400
XLV,1999-01-11,26.86349080491796,27.1436430844594,26.70785064961716,26.94131088256836,7700
XLV,1999-01-12,27.019129396867864,27.14364151390412,26.80123319205441,26.832361221313477,270700
XLV,1999-01-13,25.680624908250724,26.77010596496439,25.680624908250724,26.583337783813477,7100
XLV,1999-01-14,26.67672258622531,26.754542663781393,26.272058182933677,26.365442276000977,12200
XLV,1999-01-15,26.45882521525468,26.80123354156974,26.45882521525468,26.723413467407227,7700
XLV,1999-01-19,27.17477124733671,27.54830762187055,27.019131091280943,27.486051559448242,22700
XLV,1999-01-20,27.641691207885742,28.015227575559873,27.486051054688186,27.641691207885742,25800
XLV,1999-01-21,27.57943443823584,27.57943443823584,26.614465513195984,26.676721572875977,23200
XLV,1999-01-22,26.489953743342983,26.770106015599254,26.303185561838802,26.567773818969727,67100
XLV,1999-01-25,26.5833371354701,26.80123334149854,26.5833371354701,26.785669326782227,495300
XLV,1999-01-26,26.832362874937303,26.925746968469568,26.567774609929224,26.91018295288086,187400
XLV,1999-01-27,26.98800197271543,26.98800197271543,26.645593643188477,26.645593643188477,6800
XLV,1999-01-28,26.894618183100988,27.237026516450655,26.894618183100988,27.14364242553711,25800
