Date,ticker,close,year_month
2010-01-04,SPY,85.02791595458984,2010-01
2010-01-05,SPY,85.25302124023438,2010-01
2010-01-06,SPY,85.31304931640625,2010-01
2010-01-07,SPY,85.67318725585938,2010-01
2010-01-08,SPY,85.95829010009766,2010-01
2010-01-11,SPY,86.07833862304688,2010-01
2010-01-12,SPY,85.27554321289062,2010-01
2010-01-13,SPY,85.99579620361328,2010-01
2010-01-14,SPY,86.22840118408203,2010-01
2010-01-15,SPY,85.26053619384766,2010-01
2010-01-19,SPY,86.32592010498047,2010-01
2010-01-20,SPY,85.4481201171875,2010-01
2010-01-21,SPY,83.80499267578125,2010-01
2010-01-22,SPY,81.9368667602539,2010-01
2010-01-25,SPY,82.35699462890625,2010-01
2010-01-26,SPY,82.01187896728516,2010-01
2010-01-27,SPY,82.40203094482422,2010-01
2010-01-28,SPY,81.45667266845703,2010-01
2010-01-29,SPY,80.57134246826172,2010-01
2010-02-01,SPY,81.82433319091797,2010-02
2010-02-02,SPY,82.81463623046875,2010-02
2010-02-03,SPY,82.40203094482422,2010-02
2010-02-04,SPY,79.85857391357422,2010-02
2010-02-05,SPY,80.02367401123047,2010-02
2010-02-08,SPY,79.44597625732422,2010-02
2010-02-09,SPY,80.44380950927734,2010-02
2010-02-10,SPY,80.28623962402344,2010-02
2010-02-11,SPY,81.1265869140625,2010-02
2010-02-12,SPY,81.05902862548828,2010-02
2010-02-16,SPY,82.33448791503906,2010-02
2010-02-17,SPY,82.72462463378906,2010-02
2010-02-18,SPY,83.2123031616211,2010-02
2010-02-19,SPY,83.3848648071289,2010-02
2010-02-22,SPY,83.39990234375,2010-02
2010-02-23,SPY,82.38697052001953,2010-02
2010-02-24,SPY,83.1447982788086,2010-02
2010-02-25,SPY,83.0322265625,2010-02
2010-02-26,SPY,83.08476257324219,2010-02
2010-03-01,SPY,83.94754791259766,2010-03
2010-03-02,SPY,84.18012237548828,2010-03
2010-03-03,SPY,84.25518035888672,2010-03
2010-03-04,SPY,84.51026916503906,2010-03
2010-03-05,SPY,85.71821594238281,2010-03
2010-03-08,SPY,85.73319244384766,2010-03
2010-03-09,SPY,85.87577056884766,2010-03
2010-03-10,SPY,86.25841522216797,2010-03
2010-03-11,SPY,86.61849975585938,2010-03
2010-03-12,SPY,86.62601470947266,2010-03
2010-03-15,SPY,86.64852905273438,2010-03
2010-03-16,SPY,87.3387680053711,2010-03
2010-03-17,SPY,87.85648345947266,2010-03
2010-03-18,SPY,87.81146240234375,2010-03
2010-03-19,SPY,87.36701202392578,2010-03
2010-03-22,SPY,87.83405303955078,2010-03
2010-03-23,SPY,88.45184326171875,2010-03
2010-03-24,SPY,88.02238464355469,2010-03
2010-03-25,SPY,87.87926483154297,2010-03
2010-03-26,SPY,87.82653045654297,2010-03
2010-03-29,SPY,88.38400268554688,2010-03
2010-03-30,SPY,88.44425964355469,2010-03
2010-03-31,SPY,88.1429214477539,2010-03
2010-04-01,SPY,88.7456283569336,2010-04
2010-04-05,SPY,89.46882629394531,2010-04
2010-04-06,SPY,89.67976379394531,2010-04
2010-04-07,SPY,89.1675033569336,2010-04
2010-04-08,SPY,89.4764175415039,2010-04
2010-04-09,SPY,90.06401062011719,2010-04
2010-04-12,SPY,90.2071304321289,2010-04
2010-04-13,SPY,90.2749481201172,2010-04
2010-04-14,SPY,91.29949951171876,2010-04
2010-04-15,SPY,91.37483215332033,2010-04
2010-04-16,SPY,89.92086791992188,2010-04
2010-04-19,SPY,90.25987243652344,2010-04
2010-04-20,SPY,91.0659637451172,2010-04
2010-04-21,SPY,90.90023803710938,2010-04
2010-04-22,SPY,91.17141723632812,2010-04
2010-04-23,SPY,91.7666015625,2010-04
2010-04-26,SPY,91.42002868652344,2010-04
2010-04-27,SPY,89.25790405273438,2010-04
2010-04-28,SPY,89.93589782714844,2010-04
2010-04-29,SPY,91.05089569091795,2010-04
2010-04-30,SPY,89.50651550292969,2010-04
2010-05-03,SPY,90.66666412353516,2010-05
2010-05-04,SPY,88.53466033935547,2010-05
2010-05-05,SPY,88.0073013305664,2010-05
2010-05-06,SPY,85.08428192138672,2010-05
2010-05-07,SPY,83.81864929199219,2010-05
2010-05-10,SPY,87.51012420654297,2010-05
2010-05-11,SPY,87.26151275634766,2010-05
2010-05-12,SPY,88.4819564819336,2010-05
2010-05-13,SPY,87.38201904296875,2010-05
2010-05-14,SPY,85.80000305175781,2010-05
2010-05-17,SPY,85.84515380859375,2010-05
2010-05-18,SPY,84.67747497558594,2010-05
2010-05-19,SPY,84.1953353881836,2010-05
2010-05-20,SPY,81.01618194580078,2010-05
2010-05-21,SPY,82.19890594482422,2010-05
2010-05-24,SPY,81.14424896240234,2010-05
2010-05-25,SPY,81.22709655761719,2010-05
2010-05-26,SPY,80.73741149902344,2010-05
2010-05-27,SPY,83.44197845458984,2010-05
2010-05-28,SPY,82.39482116699219,2010-05
2010-06-01,SPY,81.00862121582031,2010-06
2010-06-02,SPY,83.11799621582031,2010-06
2010-06-03,SPY,83.40430450439453,2010-06
2010-06-04,SPY,80.4737319946289,2010-06
2010-06-07,SPY,79.47177124023438,2010-06
