date,adj_close,close,high,low,open,volume,ticker
2021-04-05,379.5332946777344,406.3599853515625,406.94000244140625,403.3800048828125,403.4599914550781,91684800,SPY
2021-04-06,379.3091735839844,406.1199951171875,407.239990234375,405.3999938964844,405.760009765625,62021000,SPY
2021-04-07,379.748046875,406.5899963378906,406.9599914550781,405.45001220703125,405.94000244140625,55836300,SPY
2021-04-08,381.5506896972656,408.5199890136719,408.5799865722656,406.92999267578125,407.92999267578125,57863100,SPY
2021-04-09,384.3245849609375,411.489990234375,411.6700134277344,408.260009765625,408.3900146484375,61104600,SPY
2021-04-12,384.4647521972656,411.6400146484375,411.92999267578125,410.20001220703125,410.8500061035156,56704900,SPY
2021-04-13,385.60418701171875,412.8599853515625,413.5299987792969,411.1199951171875,411.5299987792969,56551000,SPY
2021-04-14,384.28729248046875,411.45001220703125,413.9599914550781,410.8699951171875,412.8299865722656,61659900,SPY
2021-04-15,388.4154968261719,415.8699951171875,416.1600036621094,413.69000244140625,413.739990234375,60229800,SPY
2021-04-16,389.7137145996094,417.260009765625,417.9100036621094,415.7300109863281,417.25,82037300,SPY
2021-04-19,387.7990417480469,415.2099914550781,416.739990234375,413.7900085449219,416.260009765625,78498500,SPY
2021-04-20,384.9598388671875,412.1700134277344,415.0899963378906,410.5899963378906,413.9100036621094,81851800,SPY
2021-04-21,388.60235595703125,416.07000732421875,416.2900085449219,411.3599853515625,411.510009765625,66793000,SPY
2021-04-22,385.05316162109375,412.2699890136719,416.7799987792969,411.1300048828125,415.8900146484375,97582800,SPY
2021-04-23,389.2279968261719,416.739990234375,418.25,412.7900085449219,412.8699951171875,73209200,SPY
2021-04-26,390.04058837890625,417.6099853515625,418.2200012207031,416.80999755859375,417.44000244140625,52182400,SPY
2021-04-27,389.95660400390625,417.5199890136719,418.1400146484375,416.29998779296875,417.92999267578125,51303100,SPY
2021-04-28,389.8443908691406,417.3999938964844,419.010009765625,416.8999938964844,417.80999755859375,51238900,SPY
2021-04-29,392.3288269042969,420.05999755859375,420.7200012207031,416.44000244140625,420.32000732421875,78544300,SPY
2021-04-30,389.7510681152344,417.29998779296875,418.5400085449219,416.3399963378906,417.6300048828125,85527000,SPY
2021-05-03,390.5916442871094,418.20001220703125,419.8399963378906,417.6700134277344,419.42999267578125,68128300,SPY
2021-05-04,388.1819763183594,415.6199951171875,416.6000061035156,411.6700134277344,416.07000732421875,101591200,SPY
2021-05-05,388.3033752441406,415.75,417.6300048828125,415.1499938964844,417.3800048828125,60162200,SPY
2021-05-06,391.4042663574219,419.07000732421875,419.2099914550781,413.67999267578125,415.8299865722656,74321400,SPY
2021-05-07,394.2528991699219,422.1199951171875,422.82000732421875,419.1600036621094,419.8900146484375,67733800,SPY
2021-05-10,390.3487854003906,417.94000244140625,422.739990234375,417.80999755859375,422.5,81852400,SPY
2021-05-11,386.8650817871094,414.2099914550781,415.2699890136719,410.05999755859375,413.1000061035156,116888000,SPY
2021-05-12,378.64599609375,405.4100036621094,412.5899963378906,404.0,411.2300109863281,134811000,SPY
2021-05-13,383.1945495605469,410.2799987792969,412.3500061035156,407.0199890136719,407.07000732421875,106394000,SPY
2021-05-14,389.07855224609375,416.5799865722656,417.489990234375,413.17999267578125,413.2099914550781,82201600,SPY
2021-05-17,388.08856201171875,415.5199890136719,416.3900146484375,413.3599853515625,415.3900146484375,65129200,SPY
2021-05-18,384.7449645996094,411.94000244140625,416.05999755859375,411.7699890136719,415.79998779296875,59810200,SPY
2021-05-19,383.7362365722656,410.8599853515625,411.04998779296875,405.3299865722656,406.9200134277344,106467100,SPY
2021-05-20,387.86444091796875,415.2799987792969,416.6300048828125,411.6700134277344,411.79998779296875,78022200,SPY
2021-05-21,387.5469055175781,414.94000244140625,418.20001220703125,414.45001220703125,416.8699951171875,76578700,SPY
2021-05-24,391.4976501464844,419.1700134277344,420.32000732421875,417.0799865722656,417.3399963378906,51376700,SPY
2021-05-25,390.6290283203125,418.239990234375,420.7099914550781,417.6199951171875,420.3299865722656,57451400,SPY
2021-05-26,391.4042663574219,419.07000732421875,419.6099853515625,417.760009765625,418.8699951171875,43088600,SPY
2021-05-27,391.6096496582031,419.2900085449219,420.7200012207031,418.989990234375,420.1700134277344,56707700,SPY
2021-05-28,392.3101806640625,420.0400085449219,421.25,419.7900085449219,420.9700012207031,58520200,SPY
2021-06-01,391.96466064453125,419.6700134277344,422.7200012207031,419.20001220703125,422.57000732421875,54216600,SPY
2021-06-02,392.5810852050781,420.3299865722656,421.2300109863281,419.2900085449219,420.3699951171875,49097100,SPY
2021-06-03,391.1240539550781,418.7699890136719,419.989990234375,416.2799987792969,417.8500061035156,58138800,SPY
2021-06-04,394.7011413574219,422.6000061035156,422.9200134277344,418.8399963378906,420.75,55938800,SPY
2021-06-07,394.31829833984375,422.19000244140625,422.7799987792969,421.19000244140625,422.5899963378906,51555000,SPY
2021-06-08,394.40234375,422.2799987792969,423.2099914550781,420.32000732421875,423.1099853515625,47134300,SPY
2021-06-09,393.8138427734375,421.6499938964844,423.260009765625,421.4100036621094,423.17999267578125,48436300,SPY
2021-06-10,395.6445007324219,423.6099853515625,424.6300048828125,421.54998779296875,422.9599914550781,51020100,SPY
2021-06-11,396.2983093261719,424.30999755859375,424.42999267578125,422.82000732421875,424.20001220703125,45570800,SPY
2021-06-14,397.185546875,425.260009765625,425.3699951171875,423.1000061035156,424.42999267578125,42358500,SPY
2021-06-15,396.45709228515625,424.4800109863281,425.4599914550781,423.5400085449219,425.4200134277344,51508500,SPY
2021-06-16,394.2434997558594,422.1099853515625,424.8699951171875,419.9200134277344,424.6300048828125,80386100,SPY
2021-06-17,394.11285400390625,421.9700012207031,423.0199890136719,419.32000732421875,421.6700134277344,90949700,SPY
2021-06-18,388.79608154296875,414.9200134277344,417.8299865722656,414.70001220703125,417.0899963378906,118676300,SPY
2021-06-21,394.362060546875,420.8599853515625,421.05999755859375,415.92999267578125,416.79998779296875,72822000,SPY
2021-06-22,396.4703369140625,423.1099853515625,424.0,420.0799865722656,420.8500061035156,57700300,SPY
2021-06-23,395.99249267578125,422.6000061035156,424.04998779296875,422.510009765625,423.19000244140625,49445400,SPY
2021-06-24,398.33514404296875,425.1000061035156,425.54998779296875,424.6199951171875,424.8900146484375,45110300,SPY
2021-06-25,399.7499694824219,426.6099853515625,427.0899963378906,425.54998779296875,425.8999938964844,58129500,SPY
2021-06-28,400.5557861328125,427.4700012207031,427.6499938964844,425.8900146484375,427.1700134277344,53159600,SPY
2021-06-29,400.77142333984375,427.70001220703125,428.55999755859375,427.1300048828125,427.8800048828125,35970500,SPY
2021-06-30,401.1087341308594,428.05999755859375,428.7799987792969,427.17999267578125,427.2099914550781,64827900,SPY
2021-07-01,403.3294677734375,430.42999267578125,430.6000061035156,428.79998779296875,428.8699951171875,53441000,SPY
2021-07-02,406.4123840332031,433.7200012207031,434.1000061035156,430.5199890136719,431.6700134277344,57697700,SPY
2021-07-06,405.6720886230469,432.92999267578125,434.010009765625,430.010009765625,433.7799987792969,68710400,SPY
2021-07-07,407.1057434082031,434.4599914550781,434.760009765625,431.510009765625,433.6600036621094,63549500,SPY
2021-07-08,403.7886962890625,430.9200134277344,431.7300109863281,427.5199890136719,428.7799987792969,97595200,SPY
2021-07-09,408.0989990234375,435.5199890136719,435.8399963378906,430.7099914550781,432.5299987792969,76238600,SPY
2021-07-12,409.5608215332031,437.0799865722656,437.3500061035156,434.9700012207031,435.42999267578125,52889600,SPY
2021-07-13,408.1646423339844,435.5899963378906,437.8399963378906,435.30999755859375,436.239990234375,52911300,SPY
2021-07-14,408.7736511230469,436.239990234375,437.9200134277344,434.9100036621094,437.3999938964844,64130400,SPY
2021-07-15,407.3775634765625,434.75,435.5299987792969,432.7200012207031,434.80999755859375,55126400,SPY
2021-07-16,404.1822204589844,431.3399963378906,436.05999755859375,430.9200134277344,436.010009765625,75874700,SPY
2021-07-19,398.2132873535156,424.9700012207031,431.4100036621094,421.9700012207031,426.19000244140625,147987000,SPY
2021-07-20,403.91986083984375,431.05999755859375,432.4200134277344,424.8299865722656,425.67999267578125,99608200,SPY
2021-07-21,407.1900939941406,434.54998779296875,434.70001220703125,431.010009765625,432.3399963378906,64724400,SPY
2021-07-22,408.0428466796875,435.4599914550781,435.7200012207031,433.69000244140625,434.739990234375,47878500,SPY
2021-07-23,412.24072265625,439.94000244140625,440.29998779296875,436.7900085449219,437.5199890136719,63766600,SPY
2021-07-26,413.2527160644531,441.0199890136719,441.0299987792969,439.260009765625,439.30999755859375,43719200,SPY
2021-07-27,411.36932373046875,439.010009765625,439.94000244140625,435.989990234375,439.9100036621094,67397100,SPY
2021-07-28,411.20062255859375,438.8299865722656,440.29998779296875,437.30999755859375,439.67999267578125,52472400,SPY
2021-07-29,412.9059753417969,440.6499938964844,441.79998779296875,439.80999755859375,439.82000732421875,47435300,SPY
2021-07-30,410.9007873535156,438.510009765625,440.05999755859375,437.7699890136719,437.9100036621094,68951200,SPY
2021-08-02,410.03863525390625,437.5899963378906,440.92999267578125,437.2099914550781,440.3399963378906,58783300,SPY
2021-08-03,413.3745422363281,441.1499938964844,441.2799987792969,436.1000061035156,438.44000244140625,58053900,SPY
2021-08-04,411.3411865234375,438.9800109863281,441.1199951171875,438.7300109863281,439.7799987792969,46732200,SPY
