Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XLC,XLRE,SPY
2010-01-04,12.016512870788574,17.268266677856445,8.942387580871582,20.922794342041016,9.37878704071045,17.250776290893555,8.886094093322754,23.98484230041504,12.308618545532228,,,84.79638671875
2010-01-05,12.05536651611328,17.409202575683594,9.106749534606934,20.99667358398437,9.366692543029783,17.257244110107422,8.780312538146973,23.749622344970703,12.353747367858888,,,85.02086639404297
2010-01-06,12.26023006439209,17.617679595947266,9.125015258789062,21.040992736816406,9.2618989944458,17.244300842285156,8.831769943237305,23.992446899414062,12.370162963867188,,,85.0807113647461
2010-01-07,12.164865493774414,17.591259002685547,9.319806098937988,21.2700252532959,9.225624084472656,17.244300842285156,8.791744232177734,24.07590103149414,12.472731590270996,,,85.43987274169922
2010-01-08,12.3344087600708,17.70577049255371,9.265021324157717,21.6098747253418,9.286081314086914,17.186094284057617,8.783164978027344,24.113842010498047,12.468629837036133,,,85.72418212890625
2010-01-11,12.267300605773926,17.68227767944336,9.271108627319336,21.84628295898437,9.24980926513672,17.231369018554688,8.874659538269043,24.250417709350582,12.444011688232422,,,85.84392547607422
2010-01-12,12.034175872802734,17.426822662353516,9.137185096740724,21.66897964477539,9.14904499053955,17.328392028808594,8.837489128112793,24.07590103149414,12.2839994430542,,,85.04330444335938
2010-01-13,12.175460815429688,17.491426467895508,9.240674018859863,21.757631301879883,9.237719535827637,17.4512882232666,8.934698104858398,24.39459228515625,12.42349624633789,,,85.76158142089844
2010-01-14,12.027108192443848,17.541343688964844,9.283282279968262,21.757631301879883,9.2618989944458,17.399538040161133,8.894673347473145,24.61462783813477,12.42349624633789,,,85.99356079101562
2010-01-15,11.938803672790527,17.400400161743164,9.094572067260742,21.47689247131348,9.132928848266602,17.315458297729492,8.837489128112793,24.447696685791016,12.300410270690918,,,85.02831268310547
2010-01-19,12.129547119140623,17.558961868286133,9.210233688354492,21.71330070495605,9.29011344909668,17.4189510345459,8.940417289733887,25.039533615112305,12.464523315429688,,,86.09080505371094
2010-01-20,11.914081573486328,17.2858829498291,9.18588161468506,21.380847930908203,9.140986442565918,17.289583206176758,8.8460693359375,24.827089309692383,12.296308517456056,,,85.21537780761719
2010-01-21,11.3983793258667,16.933528900146484,8.924125671386719,20.885847091674805,9.044257164001465,17.04379653930664,8.717406272888184,24.288352966308597,12.140395164489746,,,83.57674407958984
2010-01-22,11.172320365905762,16.531253814697266,8.631932258605957,20.568159103393555,8.72988224029541,17.004981994628906,8.52584457397461,24.022789001464844,11.906537055969238,,,81.71369934082031
2010-01-25,11.271222114562988,16.639902114868164,8.680630683898926,20.70114517211914,8.802430152893066,17.037322998046875,8.58303165435791,24.022789001464844,11.968077659606934,,,82.13268280029297
2010-01-26,11.11227321624756,16.53420066833496,8.528447151184082,20.612491607666016,8.77824878692627,17.01791763305664,8.617338180541992,23.886205673217773,11.98448657989502,,,81.78851318359375
2010-01-27,11.0169038772583,16.469606399536133,8.735417366027832,20.671592712402344,8.850798606872559,17.05672836303711,8.560155868530273,24.05314445495605,12.00500202178955,,,82.1775894165039
2010-01-28,10.819101333618164,16.29636001586914,8.692805290222168,20.435182571411133,8.596883773803711,17.011449813842773,8.494393348693848,23.90138053894043,11.935253143310549,,,81.23482513427734
2010-01-29,10.646021842956545,16.00272560119629,8.631932258605957,20.22832298278809,8.447755813598633,16.94676399230957,8.442936897277832,23.734455108642575,11.86140251159668,,,80.3519287109375
2010-02-01,11.069889068603516,16.531253814697266,8.778030395507812,20.531234741210938,8.544485092163086,17.076129913330078,8.497257232666016,23.87103080749512,12.013213157653809,,,81.60144805908203
2010-02-02,11.105209350585938,16.74854850769043,8.863249778747559,20.922794342041016,8.629121780395508,17.321918487548828,8.565876007080078,24.36423110961914,12.181425094604492,,,82.58909606933594
2010-02-03,10.978053092956545,16.60466766357422,8.765851974487305,20.797195434570312,8.649273872375488,17.199024200439453,8.505831718444824,24.03795623779297,12.189634323120115,,,82.1775894165039
2010-02-04,10.568313598632812,15.923455238342283,8.388434410095215,20.183992385864254,8.407452583312988,16.849746704101562,8.282821655273438,23.43093490600586,11.836788177490234,,,79.64112091064453
2010-02-05,10.766118049621582,15.926383972167969,8.485832214355469,20.095333099365234,8.492090225219727,16.804468154907227,8.268528938293457,23.39300346374512,11.803962707519531,,,79.80571746826172
2010-02-08,10.593036651611328,15.779582023620604,8.315386772155762,19.87369728088379,8.45581340789795,16.785062789916992,8.174178123474121,23.27918815612793,11.730113983154297,,,79.22956848144531
2010-02-09,10.850890159606934,16.11137580871582,8.400609970092773,20.25787734985352,8.528364181518555,16.985572814941406,8.257089614868164,23.4612979888916,11.910634994506836,,,80.2247314453125
2010-02-10,10.776715278625488,16.04383087158203,8.467571258544922,20.22832298278809,8.504185676574707,16.966171264648438,8.219922065734863,23.31712913513184,11.86140251159668,,,80.06759643554688
2010-02-11,10.960387229919434,16.31691551208496,8.485832214355469,20.531234741210938,8.592853546142578,17.102006912231445,8.268528938293457,23.47648048400879,12.000900268554688,,,80.90558624267578
2010-02-12,10.93919563293457,16.322784423828125,8.491921424865723,20.368688583374023,8.60897159576416,17.102006912231445,8.237080574035645,23.4233512878418,12.000900268554688,,,80.83824920654297
2010-02-16,11.214706420898438,16.70743751525879,8.66845703125,20.84890365600586,8.73794937133789,17.276641845703125,8.380032539367676,23.62822723388672,12.193737030029297,,,82.1102523803711
2010-02-17,11.221772193908691,16.683942794799805,8.698892593383789,21.026220321655277,8.762126922607422,17.399538040161133,8.345725059509277,23.81032943725586,12.292205810546877,,,82.49932861328125
2010-02-18,11.34186553955078,16.777912139892578,8.753678321838379,21.218307495117188,8.818554878234863,17.503028869628906,8.39146900177002,23.92414665222168,12.370162963867188,,,82.98564147949219
2010-02-19,11.405445098876951,16.842510223388672,8.802379608154297,21.32173728942871,8.794373512268066,17.541845321655273,8.508692741394043,23.92414665222168,12.398880004882812,,,83.15775299072266
2010-02-22,11.355993270874023,16.610546112060547,8.918039321899414,21.336515426635746,8.77824878692627,17.541845321655273,8.462945938110352,23.855854034423828,12.39477825164795,,,83.17271423339844
2010-02-23,11.175854682922363,16.334524154663086,8.753678321838379,21.063161849975582,8.669431686401367,17.444820404052734,8.40576457977295,23.62822723388672,12.320926666259766,,,82.16262817382812
2010-02-24,11.147595405578612,16.437297821044922,8.905863761901855,21.27741050720215,8.754066467285156,17.554780960083008,8.414342880249023,23.8027458190918,12.480941772460938,,,82.91831970214844
2010-02-25,11.122869491577148,16.446104049682617,8.881515502929688,21.22570037841797,8.72988224029541,17.56771469116211,8.397185325622559,23.817916870117188,12.501452445983888,,,82.80607604980469
2010-02-26,11.126401901245115,16.484283447265625,8.936301231384277,21.306968688964844,8.741978645324707,17.48363494873047,8.331428527832031,23.825511932373047,12.521967887878418,,,82.85844421386719
2010-03-01,11.295947074890137,16.636962890625,8.960649490356445,21.587703704833984,8.854829788208008,17.606525421142578,8.451509475708008,24.05314445495605,12.71890354156494,,,83.71891021728516
2010-03-02,11.391318321228027,16.77497673034668,8.9910888671875,21.624645233154297,8.84273910522461,17.67121124267578,8.477240562438965,24.136606216430664,12.65325927734375,,,83.95086669921875
2010-03-03,11.490217208862305,16.848379135131836,8.997176170349121,21.654199600219727,8.846768379211426,17.677677154541016,8.462945938110352,24.03795623779297,12.690183639526367,,,84.02569580078125
2010-03-04,11.567922592163086,16.760290145874023,9.088485717773438,21.757631301879883,8.883045196533203,17.735891342163086,8.480101585388184,23.962085723876957,12.805061340332031,,,84.28010559082031
2010-03-05,11.71627712249756,17.07447052001953,9.265021324157717,22.090089797973636,8.991862297058105,17.845855712890625,8.565876007080078,24.295944213867188,13.043035507202148,,,85.4847412109375
2010-03-08,11.71627712249756,17.04804801940918,9.283282279968262,21.98666000366211,9.040231704711914,17.781173706054688,8.565876007080078,24.151775360107425,13.075852394104004,,,85.49971771240234
2010-03-09,11.642101287841797,17.04804801940918,9.313722610473633,22.16397857666016,9.080535888671877,17.75530242919922,8.554438591003418,24.136606216430664,13.055341720581056,,,85.64188385009766
2010-03-10,11.645631790161133,17.197795867919922,9.417205810546877,22.20829963684082,9.140986442565918,17.729421615600586,8.557294845581055,24.151775360107425,13.084057807922363,,,86.02346801757812
2010-03-11,11.712746620178224,17.16843605041504,9.496339797973633,22.2895622253418,9.17725944519043,17.761762619018555,8.58588695526123,24.34146881103516,13.178424835205078,,,86.38260650634766
2010-03-12,11.758663177490234,17.177244186401367,9.459814071655272,22.43732643127441,9.169200897216797,17.774696350097656,8.531566619873047,24.15936851501465,13.215352058410645,,,86.39010620117188
2010-03-15,11.755133628845217,17.001066207885742,9.459814071655272,22.43732643127441,9.161141395568848,17.910533905029297,8.563014030456543,24.318716049194336,13.198941230773926,,,86.41252899169922
2010-03-16,11.928208351135254,17.153751373291016,9.575477600097656,22.740236282348636,9.229655265808104,17.994619369506836,8.663084983825684,24.38699531555176,13.29741096496582,,,87.10091400146484
2010-03-17,11.995319366455078,17.3416748046875,9.691140174865724,22.777172088623047,9.257871627807615,18.072242736816406,8.69167423248291,24.39459228515625,13.363055229187012,,,87.6171875
2010-03-18,11.910548210144045,17.083280563354492,9.636350631713867,22.932323455810547,9.2699613571167,18.09164047241211,8.651647567749023,24.5615177154541,13.3589506149292,,,87.5722885131836
2010-03-19,11.780638694763184,16.877910614013672,9.57289695739746,22.84039878845215,9.214570045471191,18.03838157653809,8.642126083374023,24.55238151550293,13.318670272827148,,,87.1290283203125
2010-03-22,11.954089164733888,16.83370590209961,9.62170696258545,22.90711975097656,9.283303260803224,18.12932014465332,8.58443546295166,24.71224975585937,13.458433151245115,,,87.5948257446289
2010-03-23,12.109840393066406,16.898529052734375,9.701025009155272,23.16658592224121,9.37225341796875,18.2722282409668,8.619050025939941,24.834064483642575,13.511870384216309,,,88.21092224121094
2010-03-24,12.074443817138672,16.801294326782227,9.707127571105955,23.00348663330078,9.32777976989746,18.142318725585938,8.529630661010742,24.567604064941406,13.458433151245115,,,87.78266143798828
2010-03-25,11.833733558654783,16.5184268951416,9.749833106994627,22.988664627075195,9.343953132629396,18.116331100463867,8.474823951721191,24.4686336517334,13.536534309387209,,,87.63990020751953
2010-03-26,11.922229766845703,16.52431869506836,9.76203727722168,23.047971725463867,9.29947566986084,18.12932014465332,8.495014190673828,24.285919189453125,13.589977264404297,,,87.58731079101562
2010-03-29,12.049670219421388,16.845497131347656,9.774243354797363,23.255542755126957,9.32777976989746,18.213768005371094,8.598858833312988,24.544767379760746,13.61052703857422,,,88.1432876586914
2010-03-30,12.067360877990724,16.872007369995117,9.713231086730955,23.2926082611084,9.36821460723877,18.246240615844727,8.575784683227539,24.544767379760746,13.59819507598877,,,88.20340728759766
2010-03-31,12.007184028625488,16.948625564575195,9.73153018951416,23.159164428710938,9.339913368225098,18.142318725585938,8.555593490600586,24.46102333068848,13.49953556060791,,,87.90287780761719
2010-04-01,12.216039657592772,17.24917221069336,9.810847282409668,23.307435989379883,9.323737144470217,18.25923538208008,8.673860549926758,24.59806632995605,13.59408473968506,,,88.5039291381836
