ticker,direction,row_count
XLB,HH/HL,292
XLB,INSUFFICIENT_HISTORY,5
XLB,LH/LL,365
XLB,TRANSITION,188
XLC,HH/HL,157
XLC,INSUFFICIENT_HISTORY,5
XLC,LH/LL,140
XLC,NO_RATIO,441
XLC,TRANSITION,107
XLE,HH/HL,283
XLE,INSUFFICIENT_HISTORY,5
XLE,LH/LL,402
XLE,TRANSITION,160
XLF,HH/HL,314
XLF,INSUFFICIENT_HISTORY,5
XLF,LH/LL,360
XLF,TRANSITION,171
XLI,HH/HL,334
XLI,INSUFFICIENT_HISTORY,5
XLI,LH/LL,327
XLI,TRANSITION,184
XLK,HH/HL,377
XLK,INSUFFICIENT_HISTORY,5
XLK,LH/LL,289
XLK,TRANSITION,179
XLP,HH/HL,292
XLP,INSUFFICIENT_HISTORY,5
XLP,LH/LL,398
XLP,TRANSITION,155
XLRE,HH/HL,172
XLRE,INSUFFICIENT_HISTORY,5
XLRE,LH/LL,254
XLRE,NO_RATIO,300
XLRE,TRANSITION,119
XLU,HH/HL,321
XLU,INSUFFICIENT_HISTORY,5
XLU,LH/LL,359
XLU,TRANSITION,165
XLV,HH/HL,331
XLV,INSUFFICIENT_HISTORY,5
XLV,LH/LL,324
XLV,TRANSITION,190
XLY,HH/HL,367
XLY,INSUFFICIENT_HISTORY,5
XLY,LH/LL,319
XLY,TRANSITION,159
